,Median Age,Total Population,Poverty Count,Median Household Income,Per Capita Income,employment_employed,employment_unemployed,median_gross_rent,median_monthly_owner_costs,Name,Zipcode
18578,47.9,451.0,26.0,62813.0,24535.0,200.0,16.0,-666666666.0,1188.0,ZCTA5 55756,55756
18579,49.5,818.0,105.0,49375.0,26093.0,385.0,35.0,800.0,1262.0,ZCTA5 55757,55757
18580,51.2,125.0,19.0,43750.0,23974.0,48.0,5.0,-666666666.0,888.0,ZCTA5 55758,55758
18581,53.6,3136.0,515.0,40945.0,25403.0,1152.0,140.0,633.0,1255.0,ZCTA5 55760,55760
18582,56.4,593.0,62.0,70625.0,36193.0,271.0,9.0,865.0,1138.0,ZCTA5 55763,55763
18583,47.5,493.0,122.0,39732.0,20349.0,186.0,19.0,331.0,893.0,ZCTA5 55764,55764
18584,49.5,780.0,88.0,42143.0,24164.0,317.0,33.0,588.0,1020.0,ZCTA5 55765,55765
18585,35.1,31.0,1.0,78000.0,32223.0,17.0,0.0,-666666666.0,-666666666.0,ZCTA5 55766,55766
18586,46.4,4643.0,1055.0,46875.0,21346.0,1829.0,91.0,699.0,1196.0,ZCTA5 55767,55767
18587,44.0,3032.0,485.0,55000.0,27796.0,1374.0,30.0,522.0,1047.0,ZCTA5 55768,55768
18588,47.8,2430.0,338.0,50685.0,26347.0,1103.0,84.0,799.0,1110.0,ZCTA5 55769,55769
18589,48.6,1798.0,535.0,40208.0,20826.0,742.0,137.0,625.0,889.0,ZCTA5 55771,55771
18590,28.1,89.0,29.0,27500.0,10621.0,29.0,9.0,754.0,-666666666.0,ZCTA5 55772,55772
18591,50.3,1407.0,113.0,61964.0,30752.0,612.0,68.0,941.0,1233.0,ZCTA5 55775,55775
18592,43.5,3912.0,223.0,72986.0,31260.0,2011.0,69.0,948.0,1548.0,ZCTA5 55779,55779
18593,32.2,244.0,16.0,60469.0,24166.0,135.0,9.0,731.0,1396.0,ZCTA5 55780,55780
18594,60.7,672.0,45.0,64375.0,36568.0,251.0,13.0,-666666666.0,1447.0,ZCTA5 55781,55781
18595,50.5,439.0,55.0,48750.0,28516.0,227.0,2.0,643.0,850.0,ZCTA5 55782,55782
18596,49.9,2138.0,193.0,51106.0,27168.0,936.0,48.0,796.0,1353.0,ZCTA5 55783,55783
18597,49.1,105.0,10.0,46875.0,22325.0,40.0,0.0,-666666666.0,1114.0,ZCTA5 55784,55784
18598,55.1,223.0,26.0,36667.0,20894.0,80.0,14.0,-666666666.0,1216.0,ZCTA5 55785,55785
18599,37.8,348.0,35.0,58125.0,21980.0,145.0,17.0,515.0,1046.0,ZCTA5 55786,55786
